Complaint ID,Concerning,Investigated,Status,EFO,County,Completed,Site,Received,Facility ID
128126,Haz Waste Issue,JUL-31-2023,Open,Memphis,Shelby,,"Yale and Kenbridge Drive, Bartlett",JUL-31-2023,
127802,Diesel Spill,JUL-13-2023,Accepted,Memphis,Shelby,,TEMA Incident #1297-2023,JUL-12-2023,
127605,Used Oil,JUN-30-2023,No Problem Found,Memphis,Shelby,AUG-07-2023,Pate Road,JUN-27-2023,
127519,Other,JUN-16-2023,Referred to other Agency/Section,Memphis,Shelby,JUN-23-2023,FIRESTONE TIRE AND RUBBER CO,JUN-16-2023,
127471,Open Burning,JUN-16-2023,NOV,Memphis,Shelby,AUG-07-2023,Parcel: D010600301,JUN-09-2023,
127338,Odors,JUN-07-2023,Referred to other Agency/Section,Memphis,Shelby,JUN-07-2023,Gratitude Church Road - Arlington,JUN-07-2023,
127303,Tires,JUN-16-2023,No Problem Found,Memphis,Shelby,JUN-28-2023,901 Tire and Auto - 5071 Summer Avenue,JUN-02-2023,
127247,Haz Waste Issue,MAY-31-2023,Referred to other Agency/Section,Memphis,Shelby,JUN-06-2023,Residence,MAY-31-2023,
127246,Open Burning,MAY-31-2023,Referred to other Agency/Section,Memphis,Shelby,JUN-06-2023,,MAY-31-2023,
127219,Haz Waste Issue,JUN-02-2023,NOV,Memphis,Shelby,JUN-23-2023,JB Cook Auto Machine Company,MAY-30-2023,TNR000050153
127204,Odors,MAY-26-2023,No Jurisdiction,Memphis,Shelby,MAY-26-2023,"Gratitude Church Road, Arlington (unincorporated Shelby Co.) . ",MAY-26-2023,
127155,Used Oil,JUN-02-2023,No Problem Found,Memphis,Shelby,JUN-06-2023,Dixie Equipment 3271 Summer Avenue,MAY-24-2023,
127091,Haz Waste Issue,JUN-02-2023,No Problem Found,Memphis,Shelby,JUN-06-2023,ANI Warehousing 1886-1896 Brooks Rd. ,MAY-18-2023,
127067,Diesel Spill,MAY-18-2023,Closed,Memphis,Shelby,JUL-25-2023,TEMA Incident #830-2023,MAY-15-2023,
126742,Illegal Dumping,APR-24-2023,Referred to other Agency/Section,Memphis,Shelby,APR-24-2023,Bartlett Crossing Apartments (Memphis),APR-24-2023,
126719,Haz Waste Issue,APR-20-2023,Referred to other Agency/Section,Memphis,Shelby,APR-24-2023,City Park,APR-20-2023,
126551,Used Oil,APR-11-2023,Referred to other Agency/Section,Memphis,Shelby,APR-17-2023,9741 New Bethel Road,APR-10-2023,
126339,Used Oil,APR-03-2023,No Problem Found,Memphis,Shelby,APR-10-2023,Green Thumb Automotive & Detailing/Brothers Automotive,MAR-27-2023,
126276,Diesel Spill,MAR-23-2023,Accepted,Memphis,Shelby,,TEMA Incident #495-2023,MAR-23-2023,
126340,Other,MAR-20-2023,No Jurisdiction,Memphis,Shelby,MAR-27-2023,Lineage Logistics,MAR-20-2023,
126218,Illegal Dumping,MAR-15-2023,Referred to other Agency/Section,Memphis,Shelby,MAR-20-2023,Near 2035 Reid Hooker,MAR-14-2023,
126077,Illegal Dumping,MAR-10-2023,Corrected (No NOV),Memphis,Shelby,MAR-20-2023,Dino's Meats 1418 N. Willett St. ,MAR-09-2023,
126034,Tires,MAR-10-2023,No Problem Found,Memphis,Shelby,MAR-20-2023,Two piles of tires - across the road from (near) Marshell Steel 1055 Harbor and near Glaxosmithkline 2149 Harbor,MAR-08-2023,
125773,Haz Waste Issue,FEB-22-2023,No Jurisdiction,Memphis,Shelby,FEB-22-2023,MLGW (Memphis Light Gas and Water),FEB-22-2023,
125576,Illegal Dumping,FEB-08-2023,Referred to other Agency/Section,Memphis,Shelby,MAR-08-2023,Kroger Shopping Center - Houston Levee and Macon Rd. ,FEB-08-2023,
125463,Diesel Spill,FEB-02-2023,Closed,Memphis,Shelby,MAR-28-2023,TEMA Incident #163-2023,JAN-31-2023,
125453,Illegal Dumping,FEB-28-2023,No Problem Found,Memphis,Shelby,MAR-07-2023,2138 Reid Hooker (Reid Hooker and Latting),JAN-31-2023,
125456,Other,JAN-25-2023,No Jurisdiction,Memphis,Shelby,FEB-01-2023,I-240 - Interstate Highway,JAN-25-2023,
125452,Tires,FEB-03-2023,No Jurisdiction,Memphis,Shelby,MAR-30-2023,Norton Woods 188 E. Industrial ,JAN-20-2023,
125259,Illegal Dumping,JAN-17-2023,Referred to other Agency/Section,Memphis,Shelby,JAN-17-2023,2576 Dunn Avenue,JAN-17-2023,
125190,Diesel Spill,JAN-12-2023,Closed,Memphis,Shelby,FEB-21-2023,TEMA Incident #85-2023,JAN-12-2023,
124954,Used Oil,JAN-11-2023,NOV,Memphis,Shelby,,"BTW Transportation 1282 Gateway, Memphis",DEC-22-2022,
124690,Used Oil,DEC-21-2022,No Problem Found,Memphis,Shelby,DEC-22-2022,"605 Dorian Avenue, Memphis",NOV-30-2022,
124647,Illegal Dumping,NOV-30-2022,No Problem Found,Memphis,Shelby,DEC-08-2022,Chastane Thompson Landfill,NOV-22-2022,NRS790000077
124565,Used Oil,NOV-23-2022,No Problem Found,Memphis,Shelby,NOV-28-2022,"SFI of Tennessee, LLC",NOV-17-2022,TND981920473
124564,Illegal Dumping,NOV-30-2022,No Jurisdiction,Memphis,Shelby,DEC-08-2022,"2282 Whitten Road, Memphis, TN",NOV-16-2022,
124344,Illegal Dumping,OCT-27-2022,Referred to other Agency/Section,Memphis,Shelby,OCT-28-2022,"5625 Heather View Drive, Memphis",OCT-27-2022,
124363,Haz Waste Issue,NOV-16-2022,No Problem Found,Memphis,Shelby,NOV-23-2022,"1996 Beneke Avenue, Building 329",OCT-25-2022,
124144,Haz Waste Issue,OCT-07-2022,Referred to other Agency/Section,Memphis,Shelby,OCT-28-2022,Bioenergy Development Group LLC,OCT-04-2022,TND099179418
124065,Illegal Dumping,OCT-26-2022,Referred to other Agency/Section,Memphis,Shelby,OCT-28-2022,"Barton Sports Construction 5455 Crestview Road, Suite 6",SEP-27-2022,
123966,Other,SEP-26-2022,No Problem Found,Memphis,Shelby,SEP-30-2022,Precision Plastic 1405 Warford Avenue,SEP-20-2022,
123951,Other,SEP-21-2022,No Jurisdiction,Memphis,Shelby,SEP-22-2022,Greenbrook Apartments - Quail Brook Drive,SEP-20-2022,
123888,Tires,OCT-03-2022,Referred to other Agency/Section,Memphis,Shelby,OCT-28-2022,"6543 Navy Road, Millington",SEP-19-2022,
123921,Haz Waste Issue,SEP-30-2022,No Problem Found,Memphis,Shelby,NOV-01-2022,"First Response, Inc.",SEP-16-2022,TNR000024034
123622,Haz Waste Issue,SEP-02-2022,No Jurisdiction,Memphis,Shelby,SEP-22-2022,United Parcel Service - Memphis,AUG-25-2022,TND039406863
123588,Diesel Spill,AUG-25-2022,Accepted,Memphis,Shelby,,TEMA Incident #1758-2022,AUG-25-2022,
123577,Other,AUG-24-2022,No Jurisdiction,Memphis,Shelby,SEP-01-2022,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",AUG-24-2022,DML790000050
123636,Other,AUG-18-2022,No Jurisdiction,Memphis,Shelby,AUG-19-2022,City of Memphis Resident,AUG-16-2022,
123160,Odors,JUL-19-2022,Referred to other Agency/Section,Memphis,Shelby,JUL-25-2022,"7227 Gratitude Church Rd. Arlington, TN",JUL-19-2022,
123149,Other,JUL-18-2022,No Jurisdiction,Memphis,Shelby,JUL-19-2022,4405 Summer Avenue,JUL-18-2022,
122951,Haz Waste Issue,JUL-08-2022,No Problem Found,Memphis,Shelby,JUL-27-2022,"Tradebe Treatment and Recycling of Tennessee, LLC",JUN-30-2022,TND000772186
122932,Odors,JUL-06-2022,No Problem Found,Memphis,Shelby,JUL-19-2022,621 E. Brooks Rd.,JUN-28-2022,
122793,Illegal Dumping,JUN-17-2022,Referred to other Agency/Section,Memphis,Shelby,JUL-06-2022,South Highland - Parker Ave. and Hope St. ,JUN-16-2022,
122490,Hydraulic Fluid Spill,MAY-26-2022,Accepted,Memphis,Shelby,,TEMA Incident #1047-2022,MAY-26-2022,
122475,Other,MAY-25-2022,No Problem Found,Memphis,Shelby,JUN-02-2022,On Site Environmental ,MAY-23-2022,
122425,Diesel Spill,MAY-20-2022,Accepted,Memphis,Shelby,,TEMA Incident #990-2022,MAY-20-2022,
122408,Hydraulic Fluid Spill,MAY-19-2022,Closed,Memphis,Shelby,JUN-02-2022,TEMA Incident #966-2022,MAY-18-2022,
122365,Other,MAY-16-2022,Referred to other Agency/Section,Memphis,Shelby,JUN-01-2022,Barton Products,MAY-16-2022,
122359,Other,MAY-19-2022,Referred to other Agency/Section,Memphis,Shelby,MAY-24-2022,4188 Auburn Rd. ,MAY-16-2022,
122358,Other,MAY-13-2022,Referred to other Agency/Section,Memphis,Shelby,MAY-16-2022,414 N. Willett St. ,MAY-13-2022,
122221,Diesel Spill,MAY-05-2022,Closed,Memphis,Shelby,NOV-08-2022,TEMA Incident #852-2022,MAY-04-2022,
122139,Open Burning,APR-29-2022,No Jurisdiction,Memphis,Shelby,MAY-25-2022,,APR-29-2022,
122120,Illegal Dumping,APR-27-2022,No Problem Found,Memphis,Shelby,APR-29-2022,,APR-22-2022,
122074,Other,APR-26-2022,No Problem Found,Memphis,Shelby,APR-29-2022,Riverside Park Marina,APR-21-2022,
122050,Other,APR-22-2022,No Problem Found,Memphis,Shelby,APR-29-2022,Crestview Drive - near Pleasant View,APR-21-2022,
122049,Other,APR-19-2022,No Jurisdiction,Memphis,Shelby,APR-29-2022,Runyon Industries,APR-18-2022,
122000,Other,APR-18-2022,No Jurisdiction,Memphis,Shelby,APR-29-2022,F&H Stone,APR-13-2022,
121764,Illegal Dumping,MAR-31-2022,Corrected (No NOV),Memphis,Shelby,APR-29-2022,,MAR-31-2022,
121685,Used Oil,MAR-28-2022,No Jurisdiction,Memphis,Shelby,APR-29-2022,EPMH,MAR-28-2022,
121336,Other,MAR-08-2022,No Jurisdiction,Memphis,Shelby,APR-29-2022,Emmie at Vesey,MAR-08-2022,
121282,Diesel Spill,MAR-04-2022,Accepted,Memphis,Shelby,,TEMA Incident #410-2022,MAR-04-2022,
121227,Used Oil,MAR-04-2022,Referred to other Agency/Section,Memphis,Shelby,APR-29-2022,,FEB-28-2022,
121200,Illegal Dumping,MAR-25-2022,No Jurisdiction,Memphis,Shelby,APR-29-2022,,FEB-28-2022,
121179,Other,FEB-25-2022,No Problem Found,Memphis,Shelby,APR-30-2022,South Shelby Landfill ,FEB-25-2022,
121033,Other,FEB-16-2022,Referred to other Agency/Section,Memphis,Shelby,APR-29-2022,residence at 1710 S Parkway E,FEB-16-2022,
120836,Haz Waste Issue,MAR-22-2022,No Problem Found,Memphis,Shelby,APR-29-2022,South Highland parking lot,FEB-09-2022,
120758,Diesel Spill,FEB-10-2022,Accepted,Memphis,Shelby,,TEMA Incident #230-2022,FEB-08-2022,
120499,Illegal Dumping,FEB-09-2022,Referred to other Agency/Section,Memphis,Shelby,APR-29-2022,Wolf River at Covington PIke,FEB-03-2022,
118065,Haz Waste Issue,JAN-05-2022,No Problem Found,Memphis,Shelby,JAN-13-2022,Peabody Park,DEC-21-2021,
117696,Mix Spill,DEC-09-2021,Closed,Memphis,Shelby,JUN-24-2022,TEMA Incident #2357-2021,DEC-07-2021,
116782,Haz Waste Issue,NOV-22-2021,NOV,Memphis,Shelby,DEC-03-2021,"Tradebe Treatment and Recycling of Tennessee, LLC",NOV-09-2021,TND000772186
116828,Other,NOV-15-2021,Referred to other Agency/Section,Memphis,Shelby,JAN-13-2022,Owen Road,NOV-01-2021,
116672,Diesel Spill,NOV-04-2021,Accepted,Memphis,Shelby,,TEMA Incident #2147-2021,NOV-01-2021,
115986,Haz Waste Issue,NOV-12-2021,NOV,Memphis,Shelby,JAN-13-2022,Petra Auto Sales and Repair Shop,OCT-27-2021,
115971,Diesel Spill,OCT-28-2021,Closed,Memphis,Shelby,OCT-10-2022,TEMA Incident #2138-2021,OCT-27-2021,
115735,Diesel Spill,OCT-18-2021,Closed,Memphis,Shelby,NOV-08-2022,TEMA Incident #2094-2021,OCT-18-2021,
115636,Haz Waste Issue,OCT-21-2021,NOV,Memphis,Shelby,JAN-13-2022,"Tradebe Treatment and Recycling of Tennessee, LLC",OCT-11-2021,TND000772186
115153,Diesel Spill,OCT-01-2021,Closed,Memphis,Shelby,OCT-18-2022,TEMA Incident #1987-2021,OCT-01-2021,
115354,Illegal Dumping,OCT-07-2021,Corrected (No NOV),Memphis,Shelby,JAN-13-2022,Republic Service North Shelby Landfill,SEP-28-2021,
115297,Illegal Dumping,OCT-05-2021,Referred to other Agency/Section,Memphis,Shelby,JAN-13-2022,Cotton Plant Road,SEP-27-2021,
114792,Diesel Spill,SEP-24-2021,Accepted,Memphis,Shelby,,TEMA Incident #1951-2021,SEP-24-2021,
113299,Illegal Dumping,AUG-11-2021,No Jurisdiction,Memphis,Shelby,JAN-13-2022,Romero Dump,AUG-10-2021,
113163,Illegal Dumping,AUG-23-2021,No Jurisdiction,Memphis,Shelby,JAN-13-2022,West Shelby Drive,AUG-05-2021,
112599,Haz Waste Issue,AUG-06-2021,NOV,Memphis,Shelby,JAN-13-2022,"Tradebe Treatment and Recycling of Tennessee, LLC",AUG-03-2021,TND000772186
112842,Diesel Spill,AUG-05-2021,Closed,Memphis,Shelby,OCT-18-2022,TEMA Incident #1572-2021,AUG-02-2021,
112455,Haz Waste Issue,AUG-31-2021,No Jurisdiction,Memphis,Shelby,JAN-13-2022,Creative Private Label,AUG-02-2021,
112500,Used Oil,AUG-09-2021,Open,Memphis,Shelby,JAN-13-2022,McGowan's Complete Auto Center & Tire,JUL-27-2021,
111984,Used Oil,AUG-16-2021,Open,Memphis,Shelby,JAN-13-2022,Worley Brothers,JUL-16-2021,
111888,Diesel Spill,JUL-15-2021,Closed,Memphis,Shelby,AUG-23-2021,TEMA Incident #1480-2021,JUL-14-2021,
111379,Used Oil,JUL-06-2021,Referred to other Agency/Section,Memphis,Shelby,JUL-06-2021,Vandalia Street,JUL-06-2021,
111462,Used Oil,AUG-05-2021,Open,Memphis,Shelby,JAN-13-2022,Allison Avenue,JUN-30-2021,
110495,Illegal Dumping,JUN-21-2021,Corrected (No NOV),Memphis,Shelby,JAN-13-2022,Minor Road,JUN-21-2021,
110492,Illegal Dumping,JUN-22-2021,No Jurisdiction,Memphis,Shelby,JAN-13-2022,6547 WHITETAIL LN,JUN-18-2021,
110416,Diesel Spill,JUN-17-2021,Accepted,Memphis,Shelby,,TEMA Incident #1302-2021,JUN-16-2021,
110248,Diesel Spill,JUN-11-2021,Closed,Memphis,Shelby,NOV-14-2022,TEMA Incident #1273-2021,JUN-11-2021,
110246,Haz Waste Issue,JUN-29-2021,NOV,Memphis,Shelby,JAN-13-2022,"Tradebe Treatment and Recycling of Tennessee, LLC",JUN-10-2021,
110245,Haz Waste Issue,JUN-29-2021,NOV,Memphis,Shelby,JAN-13-2022,"Tradebe Treatment and Recycling of Tennessee, LLC",JUN-08-2021,
109139,Used Oil,MAY-21-2021,Corrected (No NOV),Memphis,Shelby,JUN-01-2021,HOLLEY SIGN CO,MAY-21-2021,
108723,Illegal Dumping,MAY-11-2021,NOV,Memphis,Shelby,JAN-13-2022,1774 West Raines Road,MAY-10-2021,NRS790000212
108360,Diesel Spill,APR-28-2021,Closed,Memphis,Shelby,AUG-18-2021,TEMA Incident #953-2021,APR-27-2021,
106619,Haz Waste Issue,JUN-23-2021,Corrected (No NOV),Memphis,Shelby,JAN-13-2022,East Raines Road,MAR-25-2021,
107098,Illegal Dumping,APR-28-2021,Referred to other Agency/Section,Memphis,Shelby,APR-21-2021,North Manassas,MAR-22-2021,
108340,Odors,MAR-15-2021,No Jurisdiction,Memphis,Shelby,MAR-15-2021,Republic North Shelby landfill,MAR-14-2021,
106055,Illegal Dumping,MAR-15-2021,Corrected (No NOV),Memphis,Shelby,MAR-15-2021,Lamar Avenue,MAR-08-2021,
106051,Odors,MAR-11-2021,No Problem Found,Memphis,Shelby,MAR-11-2021,North Shelby Landfill,MAR-08-2021,SNL790000224
105610,Odors,MAR-11-2021,No Problem Found,Memphis,Shelby,MAR-11-2021,North Shelby Landfill,MAR-04-2021,SNL790000224
105573,Odors,MAR-11-2021,No Problem Found,Memphis,Shelby,MAR-11-2021,North Shelby Landfill,MAR-04-2021,SNL790000224
104635,Illegal Dumping,FEB-25-2021,No Jurisdiction,Memphis,Shelby,FEB-25-2021,Riviera Apartments,FEB-24-2021,
104636,Odors,MAR-11-2021,No Jurisdiction,Memphis,Shelby,MAR-11-2021,North Shelby Landfill,FEB-22-2021,SNL790000224
104892,Odors,FEB-23-2021,No Problem Found,Memphis,Shelby,FEB-23-2021,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",FEB-20-2021,DML790000050
104890,Odors,FEB-23-2021,No Problem Found,Memphis,Shelby,FEB-23-2021,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",FEB-20-2021,DML790000050
104893,Odors,FEB-11-2021,No Problem Found,Memphis,Shelby,FEB-11-2021,North Shelby Landfill,FEB-11-2021,SNL790000224
104291,Odors,FEB-10-2021,No Problem Found,Memphis,Shelby,FEB-10-2021,North Shelby Landfill,FEB-10-2021,SNL790000224
104090,Illegal Dumping,FEB-09-2021,Referred to other Agency/Section,Memphis,Shelby,FEB-09-2021,Felts Station Road,FEB-08-2021,
104071,Illegal Dumping,FEB-09-2021,Referred to other Agency/Section,Memphis,Shelby,FEB-09-2021,Argonne Street,FEB-08-2021,
103483,Illegal Dumping,JAN-27-2021,Referred to other Agency/Section,Memphis,Shelby,JAN-27-2021,Orr Street,JAN-27-2021,
102780,Odors,JAN-21-2021,No Jurisdiction,Memphis,Shelby,JAN-21-2021,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",JAN-12-2021,DML790000050
102779,Odors,JAN-21-2021,No Jurisdiction,Memphis,Shelby,JAN-21-2021,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",JAN-12-2021,DML790000050
102778,Odors,JAN-21-2021,No Jurisdiction,Memphis,Shelby,JAN-21-2021,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",JAN-12-2021,DML790000050
102012,Diesel Spill,JAN-07-2021,Closed,Memphis,Shelby,FEB-23-2021,TEMA Incident #28-2021,JAN-07-2021,
102070,Diesel Spill,JAN-07-2021,Closed,Memphis,Shelby,JAN-18-2022,TEMA Incident #34-2021,JAN-07-2021,
102777,Odors,JAN-21-2021,No Problem Found,Memphis,Shelby,JAN-21-2021,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",JAN-04-2021,DML790000050
103394,Illegal Dumping,JAN-05-2021,NOV,Memphis,Shelby,JAN-05-2021,Chrystal Whitlow & Joy Jones,JAN-04-2021,NRS790000197
101394,Illegal Dumping,FEB-02-2021,Referred to other Agency/Section,Memphis,Shelby,FEB-03-2021,Elysian Drive,DEC-28-2020,
101381,Odors,JAN-05-2021,No Problem Found,Memphis,Shelby,JAN-05-2021,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",DEC-22-2020,DML790000050
101380,Odors,JAN-05-2021,No Problem Found,Memphis,Shelby,APR-05-2021,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",DEC-22-2020,DML790000050
101379,Odors,DEC-22-2020,No Jurisdiction,Memphis,Shelby,DEC-22-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",DEC-21-2020,DML790000050
101378,Odors,DEC-22-2020,No Jurisdiction,Memphis,Shelby,DEC-22-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",DEC-18-2020,DML790000050
101114,Diesel Spill,DEC-17-2020,Closed,Memphis,Shelby,NOV-18-2022,TEMA Incident #2578-2020,DEC-17-2020,
100891,Odors,DEC-22-2020,No Jurisdiction,Memphis,Shelby,DEC-22-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",DEC-10-2020,DML790000050
101058,Odors,DEC-09-2020,No Problem Found,Memphis,Shelby,DEC-10-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",DEC-10-2020,DML790000050
101067,Odors,DEC-09-2020,No Problem Found,Memphis,Shelby,DEC-10-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",DEC-10-2020,DML790000050
101068,Odors,DEC-22-2020,No Problem Found,Memphis,Shelby,DEC-22-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",DEC-10-2020,DML790000050
101377,Odors,DEC-22-2020,No Jurisdiction,Memphis,Shelby,DEC-22-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",DEC-10-2020,DML790000050
100753,Diesel Spill,DEC-10-2020,Accepted,Memphis,Shelby,,TEMA Incident #2600-2020,DEC-10-2020,
101376,Odors,DEC-22-2020,No Jurisdiction,Memphis,Shelby,DEC-22-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",DEC-10-2020,DML790000050
100809,Odors,DEC-09-2020,No Jurisdiction,Memphis,Shelby,DEC-09-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",DEC-09-2020,DML790000050
100890,Odors,DEC-09-2020,No Problem Found,Memphis,Shelby,DEC-09-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",DEC-09-2020,DML790000050
100889,Odors,DEC-09-2020,Open,Memphis,Shelby,DEC-09-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",DEC-09-2020,DML790000050
100711,Odors,DEC-09-2020,No Jurisdiction,Memphis,Shelby,DEC-09-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",DEC-09-2020,DML790000050
100713,Odors,DEC-09-2020,No Jurisdiction,Memphis,Shelby,DEC-09-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",DEC-09-2020,DML790000050
100752,Diesel Spill,DEC-10-2020,Accepted,Memphis,Shelby,,TEMA Incident #2597-2020,DEC-09-2020,
100709,Odors,DEC-09-2020,No Problem Found,Memphis,Shelby,DEC-09-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",DEC-08-2020,DML790000050
100691,Odors,DEC-09-2020,No Problem Found,Memphis,Shelby,DEC-09-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",DEC-08-2020,DML790000050
100690,Odors,DEC-09-2020,No Problem Found,Memphis,Shelby,DEC-09-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",DEC-08-2020,DML790000050
100689,Odors,DEC-09-2020,No Problem Found,Memphis,Shelby,DEC-09-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",DEC-08-2020,DML790000050
100457,Odors,DEC-09-2020,No Problem Found,Memphis,Shelby,DEC-09-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",DEC-07-2020,DML790000050
100383,Odors,DEC-09-2020,No Problem Found,Memphis,Shelby,DEC-09-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",DEC-05-2020,DML790000050
100384,Odors,DEC-09-2020,No Problem Found,Memphis,Shelby,DEC-09-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",DEC-05-2020,DML790000050
100385,Odors,DEC-09-2020,No Problem Found,Memphis,Shelby,DEC-09-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",DEC-05-2020,DML790000050
100382,Odors,DEC-09-2020,No Problem Found,Memphis,Shelby,DEC-09-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",DEC-05-2020,DML790000050
100378,Odors,DEC-09-2020,No Problem Found,Memphis,Shelby,DEC-09-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",DEC-04-2020,DML790000050
100379,Odors,DEC-09-2020,No Problem Found,Memphis,Shelby,DEC-09-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",DEC-04-2020,DML790000050
100380,Odors,DEC-09-2020,No Problem Found,Memphis,Shelby,DEC-09-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",DEC-04-2020,DML790000050
100377,Odors,DEC-09-2020,No Problem Found,Memphis,Shelby,DEC-09-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",DEC-04-2020,DML790000050
100192,Diesel Spill,DEC-03-2020,Accepted,Memphis,Shelby,,TEMA Incident #2556-2020,DEC-03-2020,
100179,Odors,DEC-03-2020,No Jurisdiction,Memphis,Shelby,DEC-03-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",DEC-01-2020,DML790000050
100178,Odors,DEC-03-2020,No Jurisdiction,Memphis,Shelby,DEC-03-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",DEC-01-2020,DML790000050
100176,Odors,DEC-03-2020,No Jurisdiction,Memphis,Shelby,DEC-03-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",DEC-01-2020,DML790000050
100150,Odors,DEC-01-2020,No Jurisdiction,Memphis,Shelby,DEC-01-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",NOV-30-2020,DML790000050
100175,Odors,DEC-01-2020,No Jurisdiction,Memphis,Shelby,DEC-01-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",NOV-30-2020,DML790000050
100149,Odors,DEC-01-2020,No Jurisdiction,Memphis,Shelby,DEC-01-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",NOV-30-2020,DML790000050
99956,Odors,DEC-01-2020,No Jurisdiction,Memphis,Shelby,DEC-01-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",NOV-30-2020,DML790000050
99954,Odors,NOV-30-2020,No Jurisdiction,Memphis,Shelby,NOV-30-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",NOV-26-2020,DML790000050
99876,Odors,NOV-23-2020,No Jurisdiction,Memphis,Shelby,NOV-23-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",NOV-22-2020,DML790000050
99875,Odors,NOV-23-2020,No Jurisdiction,Memphis,Shelby,NOV-23-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",NOV-20-2020,DML790000050
99289,Odors,NOV-19-2020,No Jurisdiction,Memphis,Shelby,NOV-19-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",NOV-18-2020,DML790000050
99290,Odors,NOV-19-2020,No Jurisdiction,Memphis,Shelby,NOV-19-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",NOV-16-2020,DML790000050
99291,Odors,NOV-19-2020,No Jurisdiction,Memphis,Shelby,NOV-19-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",NOV-15-2020,DML790000050
99310,Odors,NOV-13-2020,No Jurisdiction,Memphis,Shelby,NOV-13-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",NOV-13-2020,DML790000050
99329,Odors,NOV-13-2020,No Jurisdiction,Memphis,Shelby,NOV-13-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",NOV-12-2020,DML790000050
98814,Illegal Dumping,NOV-13-2020,Referred to other Agency/Section,Memphis,Shelby,NOV-13-2020,Lehman-Roberts Plant #4,NOV-10-2020,
98836,Diesel Spill,NOV-12-2020,Closed,Memphis,Shelby,DEC-08-2020,TEMA Incident #2454-2020,NOV-10-2020,
98772,Odors,NOV-10-2020,No Jurisdiction,Memphis,Shelby,NOV-10-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",NOV-09-2020,DML790000050
98729,Illegal Dumping,NOV-09-2020,Corrected (No NOV),Memphis,Shelby,NOV-09-2020,Davita Dialysis,NOV-09-2020,
98750,Odors,NOV-10-2020,No Jurisdiction,Memphis,Shelby,NOV-10-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",NOV-09-2020,DML790000050
99349,Odors,NOV-10-2020,No Jurisdiction,Memphis,Shelby,NOV-10-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",NOV-09-2020,DML790000050
99330,Odors,NOV-10-2020,No Jurisdiction,Memphis,Shelby,NOV-10-2020,"Blaylock & Brown Construction, Inc. (AKA E-Plex)",NOV-09-2020,DML790000050
