Complaint ID,Concerning,Investigated,Status,EFO,County,Completed,Site,Received,Facility ID
36516,Other,JUN-29-2015,Corrected (No NOV),Memphis,Shelby,JUL-29-2015,Estes Express Lines,JUN-26-2015,
36483,Other,JUN-26-2015,No Jurisdiction,Memphis,Shelby,JUN-26-2015,"AllWaste Onsite, LLC DBA Onsite Environmental",JUN-19-2015,
36423,Other,JUN-18-2015,No Problem Found,Memphis,Shelby,JUN-18-2015,Halle Plantation,JUN-16-2015,
36425,Used Oil,JUN-15-2015,Corrected (No NOV),Memphis,Shelby,JUN-15-2015,6057 Executive Center,JUN-15-2015,
36169,Other,MAY-22-2015,Referred to other Agency/Section,Memphis,Shelby,MAY-22-2015,PNC Biogenix,MAY-22-2015,
36083,Illegal Dumping,MAY-12-2015,NOV,Memphis,Shelby,MAY-12-2015,Smith Site,MAY-12-2015,NRS790000177
35923,Illegal Dumping,APR-30-2015,No Problem Found,Memphis,Shelby,MAY-13-2015,Property on Warford ,APR-29-2015,
35919,Illegal Dumping,APR-28-2015,No Jurisdiction,Memphis,Shelby,APR-28-2015,Simpson Property,APR-24-2015,
35814,Other,APR-16-2015,Corrected (No NOV),Memphis,Shelby,APR-16-2015,City of Memphis Property,APR-15-2015,
35802,Haz Waste Issue,APR-24-2015,Referred to other Agency/Section,Memphis,Shelby,APR-24-2015,Stonebrook Circle,APR-08-2015,
35579,Other,APR-20-2015,No Jurisdiction,Memphis,Shelby,APR-20-2015,"AllWaste Onsite, LLC DBA Onsite Environmental",MAR-27-2015,
35531,Other,APR-02-2015,No Problem Found,Memphis,Shelby,APR-02-2015,Halle Plantation,MAR-26-2015,
36048,Illegal Dumping,MAR-24-2015,NOV,Memphis,Shelby,MAR-24-2015,Hendricks Property,MAR-24-2015,NRS790000200
35433,Haz Waste Issue,APR-14-2015,NOV,Memphis,Shelby,APR-14-2015,"Howard Acquisitions, LLC dba Good Fruit Electric",MAR-17-2015,
35006,Used Oil,JAN-22-2015,Corrected (No NOV),Memphis,Shelby,JAN-22-2015,Vacant roadside property ,JAN-22-2015,
34839,Illegal Dumping,FEB-04-2015,No Problem Found,Memphis,Shelby,FEB-04-2015,Frayser Business Development Center Demolition Landfill,JAN-05-2015,
34836,Other,DEC-22-2014,No Problem Found,Memphis,Shelby,DEC-22-2014,Halle Plantation,DEC-22-2014,
34834,Other,DEC-22-2014,No Problem Found,Memphis,Shelby,DEC-22-2014,Halle Plantation,DEC-22-2014,
34832,Other,DEC-22-2014,No Problem Found,Memphis,Shelby,DEC-22-2014,Halle Plantation,DEC-22-2014,
34831,Other,DEC-22-2014,No Problem Found,Memphis,Shelby,DEC-22-2014,Halle Plantation,DEC-22-2014,
34828,Other,DEC-22-2014,No Problem Found,Memphis,Shelby,DEC-22-2014,Halle Plantation,DEC-22-2014,
34827,Other,DEC-05-2014,No Problem Found,Memphis,Shelby,DEC-05-2014,Halle Plantation,DEC-05-2014,
34826,Other,DEC-05-2014,No Problem Found,Memphis,Shelby,DEC-05-2014,Halle Plantation Area,DEC-05-2014,
34661,Haz Waste Issue,DEC-18-2014,NOV,Memphis,Shelby,DEC-18-2014,Wiggins Car Care,DEC-04-2014,
34614,Other,DEC-02-2014,No Problem Found,Memphis,Shelby,DEC-02-2014,Creekside Subdivision,NOV-26-2014,
34567,Other,NOV-14-2014,No Problem Found,Memphis,Shelby,NOV-14-2014,Halle Plantation,NOV-10-2014,
34576,Other,NOV-07-2014,No Problem Found,Memphis,Shelby,NOV-07-2014,Braystone Park,NOV-07-2014,
34398,Tires,NOV-21-2014,NOV,Memphis,Shelby,NOV-21-2014,"Mid-Town Auto Parts & Salvage, Inc.",OCT-23-2014,NRS790000176
34370,Illegal Dumping,OCT-14-2014,NOV,Memphis,Shelby,OCT-14-2014,"Charles H. Hill Contractors, Inc.",OCT-13-2014,
34288,Other,OCT-09-2014,No Problem Found,Memphis,Shelby,OCT-09-2014,Halle Plantation,OCT-09-2014,
34403,Haz Waste Issue,NOV-24-2014,NOV,Memphis,Shelby,NOV-24-2014,Nissan Lift Trucks of Memphis,OCT-07-2014,
34230,Other,OCT-02-2014,No Problem Found,Memphis,Shelby,OCT-02-2014,Halle Plantation,OCT-02-2014,
34209,Other,OCT-02-2014,Referred to other Agency/Section,Memphis,Shelby,OCT-02-2014,Valero Memphis Refinery,OCT-02-2014,
34095,Other,SEP-23-2014,No Problem Found,Memphis,Shelby,SEP-23-2014,Halle Plantation,SEP-22-2014,
34044,Other,SEP-23-2014,No Problem Found,Memphis,Shelby,SEP-23-2014,Halle Plantation,SEP-15-2014,
33974,Other,SEP-08-2014,Referred to other Agency/Section,Memphis,Shelby,SEP-08-2014,Dry Cleaner,SEP-08-2014,
33792,Other,AUG-18-2014,No Problem Found,Memphis,Shelby,AUG-18-2014,Halle Plantation,AUG-18-2014,
33790,Other,AUG-15-2014,No Problem Found,Memphis,Shelby,AUG-15-2014,Halle Plantation,AUG-15-2014,
33788,Other,AUG-15-2014,No Problem Found,Memphis,Shelby,AUG-15-2014,Creek Side Subdivision,AUG-14-2014,
33678,Other,AUG-04-2014,No Problem Found,Memphis,Shelby,AUG-04-2014,Creek Side Subdivision,AUG-04-2014,
