address,latitude,longitude,geopoint
5362 YALE RD,35.22115123,-89.8845325,"35.22115123, -89.88453250"
127 CLARK PL,35.14174428,-90.0097609,"35.14174428, -90.00976090"
1999 KINGLSEY AVE,35.23457004,-89.99783448,"35.23457004, -89.99783448"
1225 N CUMMINGS ST,35.11335249,-90.02790892,"35.11335249, -90.02790892"
1588 VERA CRUZ ST,35.08846275,-89.8891092,"35.08846275, -89.88910920"
4993 TULANE RD,35.01219302,-90.04344298,"35.01219302, -90.04344298"
1509 MADISON AVE,35.13808538,-90.01104067,"35.13808538, -90.01104067"
2521 PERRY RD,35.07636516,-90.01115014,"35.07636516, -90.01115014"
9289 GROVE MANOR DR,35.19815622,-89.75300918,"35.19815622, -89.75300918"
1487 S KANSAS ST,35.10695291,-90.06516747,"35.10695291, -90.06516747"
3423 CARRINGTON AVE,35.10654411,-89.94874238,"35.10654411, -89.94874238"
2510 N SKYLINE CIR,35.20225207,-89.98006418,"35.20225207, -89.98006418"
3724 HILLRIDGE ST,35.04703213,-90.05394289,"35.04703213, -90.05394289"
2455 SARATOGA AVE,35.10889824,-89.98045536,"35.10889824, -89.98045536"
3661 WINPLACE RD,35.04802891,-89.88938712,"35.04802891, -89.88938712"
5372 CROSSFIELD RD,35.00165532,-90.09307334,"35.00165532, -90.09307334"
908 OAKMONT PL,35.16165454,-89.98944409,"35.16165454, -89.98944409"
3545 HAZELHEDGE DR,35.05160384,-90.01353594,"35.05160384, -90.01353594"
4900 DURBIN AVE,35.15590742,-89.89733801,"35.15590742, -89.89733801"
3736 WAX MYRTLE DR,35.0466316,-89.87694564,"35.04663160, -89.87694564"
1424 WEYMOUTH ST,35.17043873,-89.92182586,"35.17043873, -89.92182586"
168 W DISON AVE,35.10132838,-90.06822473,"35.10132838, -90.06822473"
2483 WINNONA AVE,35.16631694,-89.9745335,"35.16631694, -89.97453350"
1795 SEA ISLE RD,35.08263091,-89.91136208,"35.08263091, -89.91136208"
3472 RIDGEMONT RD,35.24433349,-89.94778791,"35.24433349, -89.94778791"
2048 BELOVER DR,35.24349515,-89.99545186,"35.24349515, -89.99545186"
690 BIRTHSTONE AVE,35.00576761,-90.08709679,"35.00576761, -90.08709679"
1897 SHADOWLAWN BLVD,35.09542894,-90.05009576,"35.09542894, -90.05009576"
4707 FAIRLANE DR,35.19322079,-89.90672072,"35.19322079, -89.90672072"
835 PAR AVE,35.22147074,-90.0364739,"35.22147074, -90.03647390"
0 WHITNEY AVE,35.20805538,-90.03487534,"35.20805538, -90.03487534"
3098 CRUMP AVE,35.16106969,-89.9575178,"35.16106969, -89.95751780"
111 S WALNUT BEND RD,35.12706196,-89.7885265,"35.12706196, -89.78852650"
