Average Initial Response Time,DEPARTMENT,REPORTED,REPORTED_COUNT,Response above 30 days,Response in 5 days,Response in 6-15 days,Response in 16-30 days
7.63,Residential,01/01/2018 12:00:00 AM,1281,14,746,395,126
7.44,Residential,04/01/2018 12:00:00 AM,2220,26,1206,814,172
287.22,Commercial,11/01/2018 12:00:00 AM,59,41,8,6,3
5,Residential,09/01/2019 12:00:00 AM,2519,24,1593,865,37
193.24,Commercial,10/01/2019 12:00:00 AM,65,32,17,8,8
174.52,Commercial,08/01/2018 12:00:00 AM,77,47,12,7,11
4.97,Residential,04/01/2021 12:00:00 AM,3121,59,2344,632,86
171.31,Commercial,05/01/2019 12:00:00 AM,46,28,6,7,5
176.04,Commercial,11/01/2019 12:00:00 AM,43,22,8,6,7
144.9,Commercial,05/01/2020 12:00:00 AM,66,46,13,5,2
10.42,Residential,12/01/2019 12:00:00 AM,1264,34,725,399,106
12.83,Residential,03/01/2016 12:00:00 AM,2241,255,1131,537,316
0.16,Commercial,03/01/2016 12:00:00 AM,1,0,1,0,0
5.67,Residential,07/01/2019 12:00:00 AM,3258,22,1783,1364,89
9.57,Residential,08/01/2018 12:00:00 AM,2986,92,1522,1043,329
2.53,Residential,01/01/2022 12:00:00 AM,1665,11,1477,153,24
4.84,Residential,08/01/2021 12:00:00 AM,3075,38,2262,652,123
3.43,Residential,12/01/2022 12:00:00 AM,1480,9,1124,305,41
9.89,Commercial,01/01/2022 12:00:00 AM,75,6,40,19,10
222.83,Commercial,03/01/2020 12:00:00 AM,44,32,7,4,0
164.42,Commercial,08/01/2019 12:00:00 AM,136,88,27,13,8
7.06,Residential,10/01/2020 12:00:00 AM,2093,27,1599,428,27
3.15,Residential,11/01/2022 12:00:00 AM,1571,10,1256,285,19
17.91,Commercial,08/01/2022 12:00:00 AM,162,24,88,34,15
24.2,Commercial,05/01/2022 12:00:00 AM,157,41,55,44,15
3.33,Residential,02/01/2022 12:00:00 AM,1555,13,1282,238,22
27.16,Commercial,09/01/2022 12:00:00 AM,268,71,119,44,32
5.45,Residential,08/01/2019 12:00:00 AM,3032,40,1967,991,34
18.42,Commercial,11/01/2022 12:00:00 AM,91,17,45,18,11
9.5,Commercial,02/01/2022 12:00:00 AM,72,2,36,15,18
4.69,Residential,06/01/2022 12:00:00 AM,2885,16,1903,805,161
15.08,Commercial,11/01/2021 12:00:00 AM,77,14,35,23,5
3.14,Residential,11/01/2021 12:00:00 AM,1712,13,1369,278,51
7.74,Residential,03/01/2020 12:00:00 AM,1671,111,1148,385,27
3.13,Residential,08/01/2022 12:00:00 AM,3670,28,2970,614,57
2.35,Residential,10/01/2022 12:00:00 AM,2775,4,2344,393,32
17.96,Commercial,03/01/2018 12:00:00 AM,13,3,7,1,2
9.06,Residential,03/01/2018 12:00:00 AM,1929,43,1031,668,186
17.56,Commercial,07/01/2022 12:00:00 AM,177,26,85,49,14
241.04,Commercial,09/01/2018 12:00:00 AM,112,86,13,7,6
2.79,Residential,09/01/2022 12:00:00 AM,2874,16,2416,399,42
30.94,Commercial,04/01/2022 12:00:00 AM,116,31,50,29,5
3.49,Residential,03/01/2022 12:00:00 AM,2125,15,1671,404,34
5.28,Residential,05/01/2022 12:00:00 AM,3167,59,2074,858,174
6.43,Residential,06/01/2021 12:00:00 AM,3051,123,2130,653,144
11.87,Commercial,02/01/2023 12:00:00 AM,147,17,75,30,23
94.21,Commercial,10/01/2020 12:00:00 AM,71,42,22,5,2
7.04,Residential,06/01/2020 12:00:00 AM,2786,27,2119,593,43
19.45,Commercial,06/01/2021 12:00:00 AM,342,102,175,15,50
14.05,Commercial,01/01/2023 12:00:00 AM,111,16,45,38,11
10.15,Commercial,12/01/2022 12:00:00 AM,109,15,58,24,11
3.77,Residential,02/01/2023 12:00:00 AM,1656,23,1300,280,53
6.23,Residential,04/01/2023 12:00:00 AM,1702,31,931,658,75
16.35,Commercial,10/01/2022 12:00:00 AM,154,29,83,23,17
10.32,Residential,02/01/2020 12:00:00 AM,1574,33,1060,445,35
4.42,Residential,03/01/2023 12:00:00 AM,1970,20,1446,395,104
23.1,Commercial,06/01/2023 12:00:00 AM,181,41,31,18,10
